order_id,order_date,product_id,product_name,category,quantity,unit_price,revenue
ORD0000001,2023-10-01,P1000,Wireless Earbuds,Electronics,2,4415.88,8831.76
ORD0026719,2023-10-01,P1026,Curtains,Home & Kitchen,6,3382.41,20294.47
ORD0011935,2023-10-01,P1012,Denim Jeans,Fashion,8,2867.24,22937.89
ORD0054144,2023-10-01,P1053,Skipping Rope,Sports & Fitness,12,4636.5,55638.05
ORD0029924,2023-10-01,P1029,Table Lamp,Home & Kitchen,1,2816.14,2816.14
ORD0029923,2023-10-01,P1029,Table Lamp,Home & Kitchen,7,2788.66,19520.62
ORD0003543,2023-10-01,P1004,USB-C Cable,Electronics,3,3444.06,10332.19
ORD0022617,2023-10-01,P1022,Mixer Grinder,Home & Kitchen,3,3534.94,10604.82
ORD0008903,2023-10-01,P1009,LED Monitor,Electronics,2,505.76,1011.51
ORD0036007,2023-10-01,P1035,Trimmer,Beauty & Personal Care,6,2116.19,12697.15
ORD0036006,2023-10-01,P1035,Trimmer,Beauty & Personal Care,1,1964.4,1964.4
ORD0039925,2023-10-01,P1039,Hair Oil,Beauty & Personal Care,8,2375.47,19003.78
ORD0008904,2023-10-01,P1009,LED Monitor,Electronics,4,527.6,2110.42
ORD0004610,2023-10-01,P1005,Laptop Stand,Electronics,6,4541.34,27248.06
ORD0034085,2023-10-01,P1033,Perfume,Beauty & Personal Care,7,1254.36,8780.49
ORD0028914,2023-10-01,P1028,Vacuum Cleaner,Home & Kitchen,9,3398.9,30590.11
ORD0044258,2023-10-01,P1043,Almonds 500g,Grocery,5,3598.04,17990.18
ORD0032061,2023-10-01,P1031,Shampoo,Beauty & Personal Care,12,1867.96,22415.55
ORD0009923,2023-10-01,P1010,Men's T-Shirt,Fashion,3,899.76,2699.27
ORD0018414,2023-10-01,P1018,Backpack,Fashion,3,2635.98,7907.95
ORD0026720,2023-10-01,P1026,Curtains,Home & Kitchen,9,3351.7,30165.29
ORD0027830,2023-10-01,P1027,Air Freshener,Home & Kitchen,9,4342.85,39085.65
ORD0027829,2023-10-01,P1027,Air Freshener,Home & Kitchen,9,4368.21,39313.87
ORD0045274,2023-10-01,P1044,Instant Noodles Pack,Grocery,12,1477.33,17728.0
ORD0017320,2023-10-01,P1017,Sunglasses,Fashion,27,899.33,24281.88
ORD0056234,2023-10-01,P1055,Football,Sports & Fitness,3,4629.49,13888.46
ORD0056233,2023-10-01,P1055,Football,Sports & Fitness,4,4561.29,18245.18
ORD0040979,2023-10-01,P1040,Basmati Rice 5kg,Grocery,2,2990.4,5980.8
ORD0039207,2023-10-01,P1038,Face Mask Pack,Beauty & Personal Care,3,4158.76,12476.27
ORD0037095,2023-10-01,P1036,Sunscreen,Beauty & Personal Care,6,4674.13,28044.8
ORD0035041,2023-10-01,P1034,Hair Dryer,Beauty & Personal Care,10,4988.96,49889.57
ORD0040980,2023-10-01,P1040,Basmati Rice 5kg,Grocery,8,2738.27,21906.15
ORD0037096,2023-10-01,P1036,Sunscreen,Beauty & Personal Care,8,4438.99,35511.88
ORD0006832,2023-10-01,P1007,Gaming Mouse,Electronics,7,3665.17,25656.16
ORD0010993,2023-10-01,P1011,Women's Kurti,Fashion,2,4170.53,8341.06
ORD0019476,2023-10-01,P1019,Sneakers,Fashion,5,3508.93,17544.65
ORD0019475,2023-10-01,P1019,Sneakers,Fashion,3,3633.84,10901.53
ORD0055242,2023-10-01,P1054,Cricket Bat,Sports & Fitness,6,2306.24,13837.45
ORD0024561,2023-10-01,P1024,Storage Containers,Home & Kitchen,2,1759.39,3518.78
ORD0024562,2023-10-01,P1024,Storage Containers,Home & Kitchen,10,1723.05,17230.48
ORD0055241,2023-10-01,P1054,Cricket Bat,Sports & Fitness,2,2180.66,4361.32
ORD0060148,2023-10-01,P1059,Badminton Racket,Sports & Fitness,4,1870.44,7481.76
ORD0060147,2023-10-01,P1059,Badminton Racket,Sports & Fitness,7,1864.21,13049.49
ORD0016296,2023-10-01,P1016,Leather Wallet,Fashion,12,126.61,1519.36
ORD0007914,2023-10-01,P1008,Mechanical Keyboard,Electronics,7,3289.12,23023.85
ORD0048544,2023-10-01,P1047,Protein Bar Pack,Grocery,2,1003.69,2007.38
ORD0038147,2023-10-01,P1037,Lip Balm,Beauty & Personal Care,1,3345.87,3345.87
ORD0001701,2023-10-01,P1002,Bluetooth Speaker,Electronics,10,1855.14,18551.38
ORD0042071,2023-10-01,P1041,Cooking Oil 1L,Grocery,41,2518.3,103250.29
ORD0025669,2023-10-01,P1025,Bedsheet Set,Home & Kitchen,1,3906.94,3906.94
ORD0059279,2023-10-01,P1058,Gym Gloves,Sports & Fitness,2,1596.93,3193.85
ORD0031003,2023-10-01,P1030,Face Wash,Beauty & Personal Care,8,538.08,4304.64
ORD0043194,2023-10-01,P1042,Green Tea Box,Grocery,1,998.76,998.76
ORD0049389,2023-10-01,P1048,Peanut Butter,Grocery,8,4607.75,36862.01
