month,product_id,product_name,category,demand,revenue,number_of_orders,lag_1,lag_2,lag_3,rolling_mean_3,month_number
2024-01-01,P1000,Wireless Earbuds,Electronics,101,445623.84,34,102.0,102.0,98.0,100.66666666666667,1
2024-02-01,P1000,Wireless Earbuds,Electronics,99,438843.91,34,101.0,102.0,102.0,101.66666666666667,2
2024-03-01,P1000,Wireless Earbuds,Electronics,96,428633.75,35,99.0,101.0,102.0,100.66666666666667,3
2024-04-01,P1000,Wireless Earbuds,Electronics,111,500301.53,37,96.0,99.0,101.0,98.66666666666667,4
2024-05-01,P1000,Wireless Earbuds,Electronics,100,443916.28,34,111.0,96.0,99.0,102.0,5
2024-06-01,P1000,Wireless Earbuds,Electronics,77,344495.3,30,100.0,111.0,96.0,102.33333333333333,6
2024-07-01,P1000,Wireless Earbuds,Electronics,110,493920.03,37,77.0,100.0,111.0,96.0,7
2024-08-01,P1000,Wireless Earbuds,Electronics,111,499594.24,34,110.0,77.0,100.0,95.66666666666667,8
2024-09-01,P1000,Wireless Earbuds,Electronics,79,355166.98,31,111.0,110.0,77.0,99.33333333333333,9
2024-10-01,P1000,Wireless Earbuds,Electronics,126,555140.13,36,79.0,111.0,110.0,100.0,10
2024-11-01,P1000,Wireless Earbuds,Electronics,100,447315.79,31,126.0,79.0,111.0,105.33333333333333,11
2024-12-01,P1000,Wireless Earbuds,Electronics,102,453970.21,37,100.0,126.0,79.0,101.66666666666667,12
2025-01-01,P1000,Wireless Earbuds,Electronics,83,376015.87,31,102.0,100.0,126.0,109.33333333333333,1
2025-02-01,P1000,Wireless Earbuds,Electronics,81,353106.01,30,83.0,102.0,100.0,95.0,2
2025-03-01,P1000,Wireless Earbuds,Electronics,99,436065.67,36,81.0,83.0,102.0,88.66666666666667,3
2025-04-01,P1000,Wireless Earbuds,Electronics,93,413617.74,31,99.0,81.0,83.0,87.66666666666667,4
2025-05-01,P1000,Wireless Earbuds,Electronics,104,466167.52,33,93.0,99.0,81.0,91.0,5
2025-06-01,P1000,Wireless Earbuds,Electronics,99,440351.49,33,104.0,93.0,99.0,98.66666666666667,6
2025-07-01,P1000,Wireless Earbuds,Electronics,89,394827.68,35,99.0,104.0,93.0,98.66666666666667,7
2025-08-01,P1000,Wireless Earbuds,Electronics,110,494654.68,32,89.0,99.0,104.0,97.33333333333333,8
2025-09-01,P1000,Wireless Earbuds,Electronics,105,462528.0,33,110.0,89.0,99.0,99.33333333333333,9
2024-01-01,P1001,Smartwatch,Electronics,193,605702.83,42,176.0,153.0,204.0,177.66666666666666,1
2024-02-01,P1001,Smartwatch,Electronics,151,475263.52,36,193.0,176.0,153.0,174.0,2
2024-03-01,P1001,Smartwatch,Electronics,225,711998.2,45,151.0,193.0,176.0,173.33333333333334,3
2024-04-01,P1001,Smartwatch,Electronics,187,592369.95,39,225.0,151.0,193.0,189.66666666666666,4
2024-05-01,P1001,Smartwatch,Electronics,186,585546.7,41,187.0,225.0,151.0,187.66666666666666,5
2024-06-01,P1001,Smartwatch,Electronics,157,499420.81,36,186.0,187.0,225.0,199.33333333333334,6
2024-07-01,P1001,Smartwatch,Electronics,165,517111.43,35,157.0,186.0,187.0,176.66666666666666,7
2024-08-01,P1001,Smartwatch,Electronics,180,565183.85,40,165.0,157.0,186.0,169.33333333333334,8
2024-09-01,P1001,Smartwatch,Electronics,139,440582.46,34,180.0,165.0,157.0,167.33333333333334,9
2024-10-01,P1001,Smartwatch,Electronics,200,629632.86,40,139.0,180.0,165.0,161.33333333333334,10
2024-11-01,P1001,Smartwatch,Electronics,191,602446.95,35,200.0,139.0,180.0,173.0,11
2024-12-01,P1001,Smartwatch,Electronics,169,533655.33,38,191.0,200.0,139.0,176.66666666666666,12
2025-01-01,P1001,Smartwatch,Electronics,205,652262.24,40,169.0,191.0,200.0,186.66666666666666,1
