month,product_id,product_name,category,demand,revenue,number_of_orders
2023-10-01,P1000,Wireless Earbuds,Electronics,98,435990.54,31
2023-10-01,P1001,Smartwatch,Electronics,204,648760.49,40
2023-10-01,P1002,Bluetooth Speaker,Electronics,298,521969.97000000003,45
2023-10-01,P1003,Power Bank,Electronics,73,132229.59,29
2023-10-01,P1004,USB-C Cable,Electronics,201,726120.2,40
2023-10-01,P1005,Laptop Stand,Electronics,428,1886315.21,43
2023-10-01,P1006,Webcam,Electronics,529,2345435.24,44
2023-10-01,P1007,Gaming Mouse,Electronics,415,1573222.42,45
2023-10-01,P1008,Mechanical Keyboard,Electronics,165,534546.37,44
2023-10-01,P1009,LED Monitor,Electronics,201,103277.77,39
2023-10-01,P1010,Men's T-Shirt,Fashion,225,199262.26,44
2023-10-01,P1011,Women's Kurti,Fashion,332,1466326.41,43
2023-10-01,P1012,Denim Jeans,Fashion,431,1308606.02,47
2023-10-01,P1013,Running Shoes,Fashion,601,87788.97,42
2023-10-01,P1014,Formal Shirt,Fashion,388,236572.35,41
2023-10-01,P1015,Winter Jacket,Fashion,179,591283.98,47
2023-10-01,P1016,Leather Wallet,Fashion,311,39382.69,45
2023-10-01,P1017,Sunglasses,Fashion,731,646750.38,45
2023-10-01,P1018,Backpack,Fashion,279,768321.34,43
2023-10-01,P1019,Sneakers,Fashion,268,920125.56,40
2023-10-01,P1020,Non-stick Pan,Home & Kitchen,253,820868.01,45
2023-10-01,P1021,Electric Kettle,Home & Kitchen,428,512019.08,48
2023-10-01,P1022,Mixer Grinder,Home & Kitchen,167,594237.63,41
2023-10-01,P1023,LED Bulb Pack,Home & Kitchen,230,286063.77999999997,46
2023-10-01,P1024,Storage Containers,Home & Kitchen,565,942300.63,48
2023-10-01,P1025,Bedsheet Set,Home & Kitchen,329,1218459.57,42
2023-10-01,P1026,Curtains,Home & Kitchen,313,1009007.54,47
2023-10-01,P1027,Air Freshener,Home & Kitchen,618,2613679.1,44
2023-10-01,P1028,Vacuum Cleaner,Home & Kitchen,145,474546.8,43
2023-10-01,P1029,Table Lamp,Home & Kitchen,256,723036.25,47
2023-10-01,P1030,Face Wash,Beauty & Personal Care,391,217015.97,46
2023-10-01,P1031,Shampoo,Beauty & Personal Care,350,660248.84,48
2023-10-01,P1032,Body Lotion,Beauty & Personal Care,112,155546.69,33
2023-10-01,P1033,Perfume,Beauty & Personal Care,230,297379.01,40
2023-10-01,P1034,Hair Dryer,Beauty & Personal Care,269,1284826.55,40
2023-10-01,P1035,Trimmer,Beauty & Personal Care,320,644261.27,48
2023-10-01,P1036,Sunscreen,Beauty & Personal Care,341,1511858.72,45
2023-10-01,P1037,Lip Balm,Beauty & Personal Care,296,940387.43,42
2023-10-01,P1038,Face Mask Pack,Beauty & Personal Care,75,299940.38,35
2023-10-01,P1039,Hair Oil,Beauty & Personal Care,261,651260.69,44
2023-10-01,P1040,Basmati Rice 5kg,Grocery,296,848226.39,43
2023-10-01,P1041,Cooking Oil 1L,Grocery,1112,2760615.47,45
2023-10-01,P1042,Green Tea Box,Grocery,240,253260.26,44
2023-10-01,P1043,Almonds 500g,Grocery,367,1323944.63,43
2023-10-01,P1044,Instant Noodles Pack,Grocery,624,906236.41,42
2023-10-01,P1045,Coffee Powder,Grocery,476,107397.21,46
2023-10-01,P1046,Honey Jar,Grocery,700,2253003.27,48
2023-10-01,P1047,Protein Bar Pack,Grocery,117,113568.55,36
2023-10-01,P1048,Peanut Butter,Grocery,149,691953.11,39
2023-10-01,P1049,Oats Pack,Grocery,230,1080384.75,39
2023-10-01,P1050,Yoga Mat,Sports & Fitness,98,450641.67,30
2023-10-01,P1051,Dumbbell Set,Sports & Fitness,300,570898.09,46
2023-10-01,P1052,Resistance Bands,Sports & Fitness,179,31427.57,37
2023-10-01,P1053,Skipping Rope,Sports & Fitness,588,2681100.11,48
2023-10-01,P1054,Cricket Bat,Sports & Fitness,163,356866.91,43
2023-10-01,P1055,Football,Sports & Fitness,249,1184460.31,40
2023-10-01,P1056,Water Bottle,Sports & Fitness,448,2121740.33,42
2023-10-01,P1057,Fitness Tracker Band,Sports & Fitness,148,620412.59,38
2023-10-01,P1058,Gym Gloves,Sports & Fitness,104,159243.25,31
2023-10-01,P1059,Badminton Racket,Sports & Fitness,319,631799.8,44
2023-11-01,P1000,Wireless Earbuds,Electronics,102,452493.11,37
2023-11-01,P1001,Smartwatch,Electronics,153,482838.77999999997,31
2023-11-01,P1002,Bluetooth Speaker,Electronics,250,440675.94,41
2023-11-01,P1003,Power Bank,Electronics,84,148995.44,31
2023-11-01,P1004,USB-C Cable,Electronics,205,738345.06,39
2023-11-01,P1005,Laptop Stand,Electronics,469,2068560.24,49
2023-11-01,P1006,Webcam,Electronics,515,2261449.62,50
2023-11-01,P1007,Gaming Mouse,Electronics,349,1364518.82,44
2023-11-01,P1008,Mechanical Keyboard,Electronics,164,515762.18,40
2023-11-01,P1009,LED Monitor,Electronics,208,105716.96,45
2023-11-01,P1010,Men's T-Shirt,Fashion,209,183991.95,39
2023-11-01,P1011,Women's Kurti,Fashion,223,977729.46,34
2023-11-01,P1012,Denim Jeans,Fashion,376,1123617.95,44
2023-11-01,P1013,Running Shoes,Fashion,661,96560.83,52
2023-11-01,P1014,Formal Shirt,Fashion,359,216725.79,46
2023-11-01,P1015,Winter Jacket,Fashion,217,709900.16,41
2023-11-01,P1016,Leather Wallet,Fashion,274,34605.0,42
2023-11-01,P1017,Sunglasses,Fashion,740,663497.0599999999,44
2023-11-01,P1018,Backpack,Fashion,249,689669.62,41
2023-11-01,P1019,Sneakers,Fashion,223,759977.33,45
2023-11-01,P1020,Non-stick Pan,Home & Kitchen,248,804327.52,41
2023-11-01,P1021,Electric Kettle,Home & Kitchen,371,438554.08,46
2023-11-01,P1022,Mixer Grinder,Home & Kitchen,151,537084.62,40
2023-11-01,P1023,LED Bulb Pack,Home & Kitchen,227,284562.93,42
2023-11-01,P1024,Storage Containers,Home & Kitchen,543,911016.13,44
2023-11-01,P1025,Bedsheet Set,Home & Kitchen,298,1113000.75,44
2023-11-01,P1026,Curtains,Home & Kitchen,346,1129978.94,43
2023-11-01,P1027,Air Freshener,Home & Kitchen,473,2000205.75,44
2023-11-01,P1028,Vacuum Cleaner,Home & Kitchen,170,553178.31,41
2023-11-01,P1029,Table Lamp,Home & Kitchen,236,676605.26,38
2023-11-01,P1030,Face Wash,Beauty & Personal Care,342,191383.96,42
2023-11-01,P1031,Shampoo,Beauty & Personal Care,323,608693.43,43
2023-11-01,P1032,Body Lotion,Beauty & Personal Care,117,162855.41,36
2023-11-01,P1033,Perfume,Beauty & Personal Care,220,280502.85,39
2023-11-01,P1034,Hair Dryer,Beauty & Personal Care,246,1175651.86,38
2023-11-01,P1035,Trimmer,Beauty & Personal Care,261,530052.34,45
2023-11-01,P1036,Sunscreen,Beauty & Personal Care,329,1455935.58,45
2023-11-01,P1037,Lip Balm,Beauty & Personal Care,282,887678.72,44
2023-11-01,P1038,Face Mask Pack,Beauty & Personal Care,71,279623.35,30
