product_id,product_name,category,total_quantity,total_revenue,number_of_orders,first_month_demand,last_month_demand,demand_change_percent,trend
P1000,Wireless Earbuds,Electronics,2377,10588334.12,808,98,105,7.142857142857142,Stable
P1001,Smartwatch,Electronics,4263,13459788.2,892,204,187,-8.333333333333332,Stable
P1002,Bluetooth Speaker,Electronics,8572,14910730.71,1085,298,365,22.483221476510067,Increasing
P1003,Power Bank,Electronics,1985,3551717.67,757,73,95,30.136986301369863,Increasing
P1004,USB-C Cable,Electronics,5707,20623433.8,1067,201,339,68.65671641791045,Increasing
P1005,Laptop Stand,Electronics,13190,58489218.39,1107,428,643,50.23364485981309,Increasing
P1006,Webcam,Electronics,16213,71101790.9,1114,529,814,53.875236294896034,Increasing
P1007,Gaming Mouse,Electronics,11941,46215825.11,1083,415,480,15.66265060240964,Increasing
P1008,Mechanical Keyboard,Electronics,4019,12901164.76,989,165,203,23.03030303030303,Increasing
P1009,LED Monitor,Electronics,5760,2944691.67,1020,201,255,26.865671641791046,Increasing
P1010,Men's T-Shirt,Fashion,6749,5968963.34,1070,225,340,51.11111111111111,Increasing
P1011,Women's Kurti,Fashion,6141,27263308.8,942,332,248,-25.301204819277107,Decreasing
P1012,Denim Jeans,Fashion,11322,34349314.51,1106,431,467,8.352668213457076,Stable
P1013,Running Shoes,Fashion,12625,1853997.67,1102,601,440,-26.788685524126453,Decreasing
P1014,Formal Shirt,Fashion,11134,6676937.88,1084,388,546,40.72164948453608,Increasing
P1015,Winter Jacket,Fashion,5813,19220361.82,1069,179,294,64.24581005586593,Increasing
P1016,Leather Wallet,Fashion,5515,700837.47,1024,311,163,-47.58842443729904,Decreasing
P1017,Sunglasses,Fashion,16816,14929195.27,1094,731,690,-5.60875512995896,Stable
P1018,Backpack,Fashion,7233,19947112.07,1061,279,355,27.24014336917563,Increasing
P1019,Sneakers,Fashion,4641,16000838.71,988,268,182,-32.08955223880597,Decreasing
P1020,Non-stick Pan,Home & Kitchen,6027,19588158.83,1057,253,253,0.0,Stable
P1021,Electric Kettle,Home & Kitchen,11403,13565079.05,1097,428,587,37.149532710280376,Increasing
